,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
3,3,Gravity,592321.0,359.0,1649.9192200557104,Warner Bros,15-12-2013
4,4,Saving Mr. Banks,359134.0,393.0,913.826972010178,Disney,15-12-2013
5,5,Falstaff - Metropolitan Opera 2013 (Opera),224763.0,165.0,1362.2,By Experience,15-12-2013
6,6,Homefront,202518.0,259.0,781.9227799227799,Lionsgate,15-12-2013
7,7,Free Birds,191656.0,416.0,460.71153846153845,eOne Films,15-12-2013
8,8,The Butler,144573.0,207.0,698.4202898550725,Entertainment,15-12-2013
9,9,Carrie,118097.0,224.0,527.21875,Sony Pictures,15-12-2013
10,10,Nebraska,72163.0,95.0,759.6105263157895,Paramount,15-12-2013
11,11,Philomena,56664.0,160.0,354.15,20th Century Fox,15-12-2013
12,12,Thor: The Dark World,54253.0,123.0,441.0813008130081,Disney,15-12-2013
13,13,The Best Man Holiday,40603.0,24.0,1691.7916666666667,Universal,15-12-2013
14,14,Despicable Me 2,34300.0,187.0,183.4224598930481,Universal,15-12-2013
0,0,Jumanji: The Next Level,9464661.0,637.0,14858.0,Sony Pictures,15-12-2019
1,1,Frozen 2,3196708.0,694.0,4606.0,Disney,15-12-2019
2,2,Last Christmas,1288646.0,659.0,1955.0,Universal,15-12-2019
3,3,Knives Out,1257974.0,669.0,1880.0,Lionsgate,15-12-2019
4,4,Black Christmas,283507.0,399.0,711.0,Universal,15-12-2019
5,5,Blue Story,230644.0,248.0,930.0,Paramount,15-12-2019
6,6,The Nutcracker - Bolshoi Ballet 2019 (Ballet),187697.0,169.0,1111.0,Trafalgar,15-12-2019
7,7,Le Mans '66,130075.0,241.0,540.0,Disney,15-12-2019
8,8,Jak Poslubic Milionera,104544.0,118.0,886.0,Magnetes,15-12-2019
9,9,Home Alone (Re: 2018),88011.0,163.0,540.0,Park Circus,15-12-2019
10,10,Friends 25th: The One With The Anniversary,87974.0,370.0,238.0,Warner Bros,15-12-2019
11,11,Elf (Re: 2019),81918.0,280.0,293.0,Park Circus,15-12-2019
12,12,It's a Wonderful Life (4K Restoration),63614.0,38.0,1674.0,Park Circus,15-12-2019
13,13,Abominable,58245.0,279.0,209.0,Universal,15-12-2019
14,14,Hellaro,56002.0,13.0,4308.0,Red Lotus Events,15-12-2019
0,0,The King's Speech,4401926.0,422.0,10431.0,Momentum,16-01-2011
1,1,The Green Hornet,1878905.0,439.0,4280.0,Sony,16-01-2011
2,2,127 Hours,1342432.0,343.0,3914.0,Warner Bros,16-01-2011
3,3,Gulliver's Travels,1252107.0,486.0,2576.0,20th Century Fox,16-01-2011
4,4,Little Fockers,1224667.0,463.0,2645.0,Paramount,16-01-2011
5,5,Love and Other Drugs,608577.0,352.0,1729.0,20th Century Fox,16-01-2011
6,6,The Next Three Days,539562.0,415.0,1300.0,Lionsgate,16-01-2011
7,7,Harry Potter and the Deathly Hallows: Part One,533141.0,362.0,1473.0,Warner Bros,16-01-2011
8,8,Chronicles of Narnia: Voyage of the Dawn Treader,410757.0,380.0,1081.0,20th Century Fox,16-01-2011
9,9,Tron Legacy,330701.0,239.0,1384.0,Disney,16-01-2011
10,10,Megamind,281608.0,365.0,772.0,Paramount,16-01-2011
11,11,Conviction,279016.0,253.0,1103.0,20th Century Fox,16-01-2011
12,12,Season of the Witch,276869.0,289.0,958.0,Paramount,16-01-2011
13,13,Yamla Pagla Deewana,213356.0,48.0,4445.0,Eros International ,16-01-2011
14,14,Blue Valentine,176411.0,36.0,4900.0,Optimum,16-01-2011
0,0,Spider-Man: No Way Home,3215166.0,679.0,4735.0,Sony Pictures,16-01-2022
1,1,Scream,2468510.0,622.0,3969.0,Paramount,16-01-2022
2,2,The King's Man,627445.0,577.0,1087.0,Disney,16-01-2022
3,3,Clifford The Big Red Dog,525107.0,620.0,847.0,eOne Films,16-01-2022
4,4,Licorice Pizza,393988.0,369.0,1068.0,Universal,16-01-2022
5,5,West Side Story,350015.0,490.0,714.0,Disney,16-01-2022
6,6,The Matrix: Resurrections,299182.0,477.0,627.0,Warner Bros,16-01-2022
7,7,Encanto,221635.0,476.0,466.0,Disney,16-01-2022
8,8,House Of Gucci,173687.0,227.0,765.0,Universal,16-01-2022
9,9,The 355,161483.0,430.0,376.0,Universal,16-01-2022
10,10,Ghostbusters: Afterlife,90601.0,235.0,386.0,Sony Pictures,16-01-2022
11,11,Boiling Point,73555.0,74.0,994.0,Vertigo,16-01-2022
12,12,The Boss Baby 2,45994.0,353.0,130.0,Universal,16-01-2022
13,13,Memoria,40115.0,56.0,716.0,Sovereign Film Distribution,16-01-2022
14,14,The Electrical Life Of Louis Wain,31857.0,164.0,194.0,StudioCanal,16-01-2022
0,0,The Lego Movie,8051140.0,547.0,14718.720292504571,Warner Bros,16-02-2014
1,1,The Monuments Men,1616625.0,489.0,3305.9815950920247,20th Century Fox,16-02-2014
2,2,RoboCop,1509810.0,436.0,3462.8669724770643,StudioCanal,16-02-2014
3,3,Mr Peabody and Sherman,1404118.0,522.0,2689.88122605364,20th Century Fox,16-02-2014
4,4,The Wolf of Wall Street,1130707.0,426.0,2654.241784037559,Universal,16-02-2014
5,5,Tinker Bell and the Pirate Fairy,966920.0,405.0,2387.456790123457,Disney,16-02-2014
6,6,Cuban Fury,966276.0,361.0,2676.6648199445985,StudioCanal,16-02-2014
7,7,Endless Love,744867.0,359.0,2074.838440111421,Universal,16-02-2014
8,8,Dallas Buyers Club,716123.0,332.0,2156.996987951807,eOne Films,16-02-2014
9,9,12 Years a Slave,536615.0,441.0,1216.814058956916,eOne Films,16-02-2014
10,10,Her,449307.0,200.0,2246.535,Entertainment,16-02-2014
11,11,Frozen,273394.0,419.0,652.491646778043,Disney,16-02-2014
12,12,That Awkward Moment,246766.0,222.0,1111.5585585585586,eOne Films,16-02-2014
13,13,Gunday,206741.06,59.0,3504.0857627118644,Yashraj,16-02-2014
14,14,American Hustle,144919.0,156.0,928.9679487179488,Entertainment,16-02-2014
0,0,Sonic The Hedgehog,4733768.0,619.0,7647.0,Paramount,16-02-2020
1,1,Parasite,2523518.0,428.0,5896.0,StudioCanal,16-02-2020
2,2,Dolittle,2135951.0,678.0,3150.0,Universal,16-02-2020
3,3,1917,1950909.0,635.0,3072.0,eOne Films,16-02-2020
4,4,Birds Of Prey: And The Fantabulous Emancipation Of One Harley Quinn,1773024.0,621.0,2855.0,Warner Bros,16-02-2020
5,5,Emma,1635797.0,611.0,2677.0,Universal,16-02-2020
6,6,Bad Boys For Life,842039.0,438.0,1922.0,Sony Pictures,16-02-2020
7,7,365 Dni,378790.0,262.0,1446.0,Phoenix,16-02-2020
8,8,Jumanji: The Next Level,326564.0,414.0,789.0,Sony Pictures,16-02-2020
9,9,The Gentlemen,238781.0,231.0,1034.0,Entertainment,16-02-2020
10,10,The Personal History Of David Copperfield,236502.0,301.0,786.0,Lionsgate,16-02-2020
11,11,Jojo Rabbit,155753.0,167.0,933.0,Disney,16-02-2020
12,12,Little Women,155706.0,245.0,636.0,Sony Pictures,16-02-2020
13,13,Frozen 2,148856.0,361.0,412.0,Disney,16-02-2020
14,14,"Paw Patrol: Ready, Race, Rescue",144262.0,438.0,329.0,Paramount,16-02-2020
0,0,"10,000B.C.",1932539.0,431.0,4483.849187935035,Warner Bros.,16-03-2008
1,1,Vantage Point,933175.0,352.0,2651.065340909091,Sony Pictures,16-03-2008
2,2,The Game Plan,760609.0,366.0,2078.1666666666665,Disney,16-03-2008
3,3,The Other Boleyn Girl,719630.0,355.0,2027.12676056338,Universal,16-03-2008
4,4,The Bank Job,426795.0,290.0,1471.7068965517242,Lions Gate,16-03-2008
5,5,The Cottage,303072.0,260.0,1165.6615384615384,Pathé,16-03-2008
6,6,In Bruges,277513.0,70.0,3964.471428571429,Universal,16-03-2008
7,7,The Accidental Husband,241181.0,255.0,945.8078431372548,Momentum,16-03-2008
8,8,Hannah Montana 3-D,241119.0,65.0,3709.523076923077,Disney,16-03-2008
9,9,There Will Be Blood,224718.0,179.0,1255.4078212290503,Disney,16-03-2008
10,10,Juno,213504.0,188.0,1135.659574468085,20th Century Fox,16-03-2008
11,11,Be Kind Rewind,182665.0,248.0,736.5524193548387,Pathé,16-03-2008
12,12,Jumper,171881.0,202.0,850.8960396039604,20th Century Fox,16-03-2008
13,13,Semi-Pro,133246.0,183.0,728.120218579235,Entertainment,16-03-2008
14,14,Untraceable,124763.0,167.0,747.0838323353294,Universal,16-03-2008
0,0,Fast & Furious 8,14026301.0,572.0,24521.50524476,Universal,16-04-2017
1,1,The Boss Baby,3619765.0,606.0,5973.20957096,20th Century Fox,16-04-2017
2,2,Beauty and the Beast,2598163.0,652.0,3984.91257669,Disney,16-04-2017
3,3,Peppa Pig: My First Cinema Experience,514923.0,546.0,943.08241758,eOne Films,16-04-2017
4,4,Going in Style,499928.0,437.0,1144.0,Warner Bros,16-04-2017
5,5,The Handmaiden,474752.0,94.0,5050.55319149,Curzon/Artificial Eye,16-04-2017
6,6,Get Out,455122.0,339.0,1342.54277286,Universal,16-04-2017
7,7,Smurfs: The Lost Village,439697.0,503.0,874.14910537,Sony Pictures,16-04-2017
8,8,Ghost in the Shell,366564.0,354.0,1035.49152542,Paramount,16-04-2017
9,9,The Sense of an Ending,329948.0,107.0,3083.62616822,StudioCanal,16-04-2017
10,10,Power Rangers,218811.0,330.0,663.06363636,Lionsgate,16-04-2017
11,11,Moulin Rouge! (Secret Cinema 2017),203120.0,1.0,203120.0,20th Century Fox,16-04-2017
12,12,Kong: Skull Island,172976.0,220.0,786.25454545,Warner Bros,16-04-2017
13,13,Logan,162245.0,201.0,807.18905473,20th Century Fox,16-04-2017
14,14,Manje Bistre,111911.0,13.0,8608.53846154,B4U Movies,16-04-2017
0,0,Robin Hood,5750332.0,537.0,10708.253258845438,Universal,16-05-2010
1,1,Iron Man 2,1595612.0,491.0,3249.7189409368634,Paramount,16-05-2010
2,2,Nightmare on Elm Street,649323.0,357.0,1818.8319327731087,Warner Bros,16-05-2010
3,3,Hot Tub Time Machine,573122.0,397.0,1443.632241813602,20th Century Fox,16-05-2010
4,4,Furry Vengeance,548440.0,431.0,1272.4825986078886,E1 Films,16-05-2010
5,5,Four Lions,496649.0,218.0,2278.206422018349,Optimum,16-05-2010
6,6,The Back-Up Plan,478917.0,283.0,1692.286219081272,Sony Pictures,16-05-2010
7,7,How to Train your Dragon,254638.0,395.0,644.653164556962,Paramount,16-05-2010
8,8,The Last Song,181489.0,297.0,611.074074074074,Disney,16-05-2010
9,9,Date Night,127785.0,236.0,541.4618644067797,20th Century Fox,16-05-2010
10,10,The Ghost,119980.0,160.0,749.875,Optimum,16-05-2010
11,11,Nanny McPhee and the Big Bang,95412.0,317.0,300.9842271293375,Universal,16-05-2010
12,12,Clash of the Titans,68227.0,165.0,413.4969696969697,Warner Bros,16-05-2010
13,13,Dear John,61543.0,154.0,399.6298701298701,Paramount,16-05-2010
14,14,Kick-Ass,51777.0,88.0,588.375,Universal,16-05-2010
0,0,Man Of Steel ,11198786.0,572.0,19578.297202797203,Warner Brothers,16-06-2013
1,1,After Earth ,1231671.0,467.0,2637.41113490364,Sony,16-06-2013
2,2,The Hangover Part III ,861554.0,433.0,1989.732101616628,Warner Brothers,16-06-2013
3,3,Epic,852831.0,509.0,1675.5029469548133,20th Century Fox,16-06-2013
4,4,Behind The Candelabra ,622144.0,241.0,2581.510373443984,eOne Films,16-06-2013
5,5,Fast & Furious 6 ,592553.0,378.0,1567.600529100529,Universal,16-06-2013
6,6,The Great Gatsby ,433188.0,340.0,1274.0823529411764,Warner Brothers,16-06-2013
7,7,Star Trek Into Darkness ,410016.0,326.0,1257.717791411043,Paramount,16-06-2013
8,8,The Purge,340716.0,282.0,1208.212765957447,Universal,16-06-2013
9,9,Yeh Jawaani Hai Deewani,85505.0,38.0,2250.1315789473683,Eros,16-06-2013
10,10,Summer In February,74898.0,64.0,1170.28125,Metrodome,16-06-2013
11,11,The Iceman ,68710.0,135.0,508.962962962963,Lionsgate,16-06-2013
12,12,Much Ado About Nothing,68265.0,64.0,1066.640625,Kaleidoscope,16-06-2013
13,13,Iron Man 3,60339.0,125.0,482.712,Disney,16-06-2013
14,14,The Croods,36693.0,165.0,222.38181818181815,20th Century Fox,16-06-2013
0,0,Aladdin,2881535.0,656.0,4392.58384146,Disney,16-06-2019
1,1,Men In Black International,2823117.0,607.0,4650.93410214,Sony Pictures,16-06-2019
2,2,Rocketman,1633127.0,665.0,2455.83007519,Paramount,16-06-2019
3,3,The Secret Life of Pets 2,1521488.36539855,610.0,2494.24322196,Universal,16-06-2019
4,4,X-Men: Dark Phoenix,1043284.0,611.0,1707.50245499,20th Century Fox,16-06-2019
5,5,Godzilla: King Of The Monsters,500120.0,475.0,1052.88421053,Warner Bros,16-06-2019
6,6,John Wick: Chapter 3 - Parabellum,351256.0,273.0,1286.65201465,Lionsgate,16-06-2019
7,7,Casino Royale (Secret Cinema 2019),296606.0,1.0,296606.0,Independent,16-06-2019
8,8,Diego Maradona,284949.0,139.0,2049.99280576,Altitude,16-06-2019
9,9,Pokemon Detective Pikachu,201506.126797555,433.0,465.37211732,Warner Bros,16-06-2019
10,10,Avengers: Endgame,180458.0,210.0,859.32380952,Disney,16-06-2019
11,11,Ma,126745.965544484,230.0,551.06941541,Universal,16-06-2019
12,12,Bharat,96886.0,83.0,1167.30120482,Cinestaan AA Distributors,16-06-2019
13,13,Sometimes Always Never,72291.0,77.0,938.84415584,Parkland Entertainment,16-06-2019
14,14,"Romeo And Juliet - ROH, 2018/19 (Ballet)",62756.0,96.0,653.70833333,Royal Opera House,16-06-2019
0,0,War for the Planet of the Apes,7195773.0,597.0,12053.221105527638,20th Century Fox,16-07-2017
1,1,Despicable Me 3,3839658.51623665,617.0,6223.109426639628,Universal,16-07-2017
2,2,Spider-Man: Homecoming,3718078.0,620.0,5996.9,Sony Pictures,16-07-2017
3,3,Cars 3,2625000.0,522.0,5028.735632183908,Disney,16-07-2017
4,4,Baby Driver,976725.0,515.0,1896.5533980582525,Sony Pictures,16-07-2017
5,5,The Beguiled,414924.0,250.0,1659.696,Universal,16-07-2017
6,6,Transformers: The Last Knight,122288.0,238.0,513.8151260504202,Paramount,16-07-2017
7,7,Jagga Jasoos,113003.197714235,93.0,1215.0881474648925,UTV,16-07-2017
8,8,Wonder Woman,110526.0,171.0,646.3508771929825,Warner Bros,16-07-2017
9,9,All Eyez on Me,89626.0,157.0,570.8662420382166,Lionsgate,16-07-2017
10,10,It Comes at Night,58588.0,174.0,336.71264367816093,Universal,16-07-2017
11,11,The Boss Baby,41764.0,205.0,203.72682926829268,20th Century Fox,16-07-2017
12,12,Smurfs: The Lost Village,40396.0,230.0,175.63478260869564,Sony Pictures,16-07-2017
13,13,The House,38295.0,140.0,273.5357142857143,Warner Bros,16-07-2017
14,14,Pirates of the Caribbean: Salazar's Revenge,26486.0,95.0,278.8,Disney,16-07-2017
0,0,The Time Traveller's Wife,1410333.0,425.0,3318.430588235294,Entertainment,16-08-2009
1,1,Aliens in the Attic,1323575.0,435.0,3042.7011494252874,20th Century Fox,16-08-2009
2,2,G-Force,941848.0,468.0,2012.4957264957263,Disney,16-08-2009
3,3,Harry Potter and the Half-Blood Prince,932745.0,464.0,2010.2262931034484,Warner Bros,16-08-2009
4,4,G.I. Joe,827389.0,442.0,1871.920814479638,Paramount,16-08-2009
5,5,The Ugly Truth ,809390.0,398.0,2033.643216080402,Sony Pictures,16-08-2009
6,6,Bandslam,628957.0,377.0,1668.320954907162,E1 Films,16-08-2009
7,7,Ice Age III,508915.0,417.0,1220.4196642685852,20th Century Fox,16-08-2009
8,8,The Proposal,445689.0,380.0,1172.865789473684,Disney,16-08-2009
9,9,A Perfect Getaway,418703.0,214.0,1956.556074766355,Momentum,16-08-2009
10,10,Orphan,379179.0,278.0,1363.953237410072,Optimum,16-08-2009
11,11,The Taking of Pelham 1 2 3,324239.0,338.0,959.2869822485208,Sony Pictures,16-08-2009
12,12,Coco Before Chanel,178341.0,111.0,1606.6756756756756,Optimum,16-08-2009
13,13,The Hangover,145865.0,168.0,868.2440476190476,Warner Bros,16-08-2009
14,14,Kaminey,111954.0,28.0,3998.357142857143,UTV Comms,16-08-2009
0,0,Pixels,2660772.0,511.0,5206.990215264188,Sony Pictures,16-08-2015
1,1,Inside Out,1912671.0,615.0,3110.0341463414634,Disney,16-08-2015
2,2,Mission: Impossible Rogue Nation,1585062.0,525.0,3019.1657142857143,Paramount,16-08-2015
3,3,The Man from U.N.C.L.E.,1448298.0,503.0,2879.3200795228627,Warner Bros,16-08-2015
4,4,Trainwreck,931981.0,464.0,2008.5797413793105,UNIVERSAL,16-08-2015
5,5,Fantastic Four,701406.0,524.0,1338.5610687022902,20th Century Fox,16-08-2015
6,6,Southpaw,625828.0,377.0,1660.0212201591512,Entertainment,16-08-2015
7,7,Minions,581573.0,524.0,1109.87213740458,Universal,16-08-2015
8,8,Absolutely Anything,487147.0,314.0,1551.4235668789809,Lionsgate,16-08-2015
9,9,The Gift,330679.0,327.0,1011.250764525994,Lionsgate,16-08-2015
10,10,Ant-Man,326054.0,352.0,926.2897727272727,Disney,16-08-2015
11,11,The Empire Strikes Back (Secret Cinema 2015),289000.0,1.0,289000.0,20th Century Fox,16-08-2015
12,12,Mistress America,164691.0,78.0,2111.423076923077,20th Century Fox,16-08-2015
13,13,Brothers,142403.0,63.0,2260.3650793650795,20th Century Fox,16-08-2015
14,14,Jurassic World,121536.0,167.0,727.7604790419161,Universal,16-08-2015
0,0,Inception: 10th Anniversary,207675.0,313.0,663.0,Warner Bros,16-08-2020
1,1,Unhinged,136347.0,282.0,483.0,Altitude,16-08-2020
2,2,Pinocchio,108626.0,272.0,399.0,Vertigo,16-08-2020
3,3,Onward,92092.0,258.0,357.0,Disney,16-08-2020
4,4,100% Wolf,83938.0,268.0,313.0,Vertigo,16-08-2020
5,5,Broken Law,52748.0,35.0,1507.0,Break Out Pictures,16-08-2020
6,6,Trolls World Tour,42370.0,156.0,272.0,Universal,16-08-2020
7,7,Babyteeth,38977.0,139.0,280.0,Picture House Entertainment,16-08-2020
8,8,Jurassic Park (Re: 2020),29051.0,93.0,312.0,Universal,16-08-2020
9,9,American Pickle,27926.0,165.0,169.0,Warner Bros,16-08-2020
10,10,Dreambuilders,21103.0,130.0,162.0,Signature Entertainment,16-08-2020
11,11,The Greatest Showman,18998.0,52.0,365.0,20th Century Fox,16-08-2020
12,12,Dirty Dancing (30th Anniversary),13520.0,45.0,300.0,Lionsgate,16-08-2020
13,13,Star Wars: Episode V - Empire Strikes Back (Re: 1997),12116.0,87.0,139.0,20th Century Fox,16-08-2020
14,14,Back To The Future (Re: 2020),12041.0,83.0,145.0,Park Circus,16-08-2020
0,0,"Run, Fat Boy, Run",1543836.0,411.0,3756.29197080292,Entertainment,16-09-2007
1,1,Superbad,1484456.0,402.0,3692.676616915423,Sony,16-09-2007
2,2,Atonement,1379790.0,412.0,3349.004854368932,Universal,16-09-2007
3,3,The Bourne Ultimatum,744851.0,382.0,1949.871727748691,Universal,16-09-2007
4,4,Disturbia,728145.0,400.0,1820.3625,Paramount,16-09-2007
5,5,Knocked Up,461336.0,332.0,1389.566265060241,Universal,16-09-2007
6,6,Shoot 'Em Up,374770.0,294.0,1274.7278911564626,Entertainment,16-09-2007
7,7,3:10 To Yuma,368510.0,303.0,1216.2046204620465,Lions Gate,16-09-2007
8,8,1408,244472.0,275.0,888.9890909090909,Paramount,16-09-2007
9,9,The Simpsons,174758.0,382.0,457.4816753926702,20th Century Fox,16-09-2007
10,10,Bratz: The Movie,117149.0,332.0,352.8584337349397,Momentum,16-09-2007
11,11,Harry Potter and the Order of the Phoenix,102468.0,192.0,533.6875,Warner Bros.,16-09-2007
12,12,Rush Hour 3,94076.0,151.0,623.0198675496689,Entertainment,16-09-2007
13,13,Surf's Up,94023.0,306.0,307.2647058823529,Sony,16-09-2007
14,14,Transformers,67445.0,133.0,507.10526315789474,Paramount,16-09-2007
0,0,The Sweeney,1545294.0,406.0,3806.142857142857,eOne Films,16-09-2012
1,1,ParaNorman,1393123.0,480.0,2902.3395833333334,Universal,16-09-2012
2,2,Anna Karenina,813395.0,495.0,1643.2222222222222,Universal,16-09-2012
3,3,Lawless,790378.0,406.0,1946.743842364532,Momentum,16-09-2012
4,4,Dredd,769381.0,415.0,1853.930120481928,Entertainment,16-09-2012
5,5,Hope Springs,728689.0,417.0,1747.4556354916067,Momentum,16-09-2012
6,6,Brave,584321.0,515.0,1134.6038834951455,Disney,16-09-2012
7,7,Total Recall,472232.0,368.0,1283.2391304347825,Sony Pictures,16-09-2012
8,8,The Possession,346642.0,278.0,1246.913669064748,Lions Gate,16-09-2012
9,9,Ted,317035.0,267.0,1187.3970037453184,Universal,16-09-2012
10,10,The Dark Knight Rises,231156.0,140.0,1651.1142857142856,Warner Bros,16-09-2012
11,11,Barfi!,229882.0,64.0,3591.90625,UTV,16-09-2012
12,12,The Watch,180099.0,209.0,861.7177033492823,20th Century Fox,16-09-2012
13,13,To Rome with Love,141008.0,107.0,1317.8317757009345,Sony Pictures,16-09-2012
14,14,The Bourne Legacy,123166.0,143.0,861.3006993006993,Universal,16-09-2012
0,0,Johnny English Reborn,3072542.0,521.0,5897.393474088291,Universal,16-10-2011
1,1,The Lion King 3D,1906686.0,420.0,4539.728571428572,Disney,16-10-2011
2,2,The Three Musketeers,1461251.0,485.0,3012.8886597938144,eOne Films,16-10-2011
3,3,Real Steel,1337491.0,385.0,3474.002597402597,Disney,16-10-2011
4,4,"Tinker, Tailor, Soldier, Spy",572806.0,369.0,1552.319783197832,Studio Canal,16-10-2011
5,5,Footloose,460271.0,380.0,1211.2394736842105,Paramount,16-10-2011
6,6,Dolphin Tale,429140.0,384.0,1117.5520833333333,Warner Bros,16-10-2011
7,7,Midnight in Paris,396584.0,150.0,2643.893333333333,Warner Bros,16-10-2011
8,8,Don't Be Afraid of the Dark,250542.0,204.0,1228.1470588235295,Studio Canal,16-10-2011
9,9,Drive,178230.0,104.0,1713.75,Icon,16-10-2011
10,10,"Crazy, Stupid, Love",155097.0,129.0,1202.3023255813953,Warner Bros,16-10-2011
11,11,Abduction,148542.0,205.0,724.5951219512195,Lions Gate,16-10-2011
12,12,The Inbetweeners Movie,94465.0,120.0,787.2083333333334,Entertainment,16-10-2011
13,13,The Debt,71710.0,80.0,896.375,Universal,16-10-2011
14,14,The Smurfs,70381.0,258.0,272.79457364341084,Sony Pictures,16-10-2011
0,0,The Girl on the Train,3412472.0,630.0,5416.622222222222,eOne Films,16-10-2016
1,1,Inferno,2970026.95141853,555.0,5351.399912465819,Sony Pictures,16-10-2016
2,2,Storks,2247038.0,528.0,4255.753787878788,Warner Bros,16-10-2016
3,3,Miss Saigon: 25th Anniversary Performance (Musical),2033031.0,593.0,3428.382799325464,Universal,16-10-2016
4,4,Bridget Jones's Baby,1888985.905202,575.0,3285.192878612174,Universal,16-10-2016
5,5,Miss Peregrine’s Home for Peculiar Children,1313861.0,524.0,2507.368320610687,20th Century Fox,16-10-2016
6,6,Deepwater Horizon,456456.0,399.0,1144.0,Lionsgate,16-10-2016
7,7,The Magnificent Seven,212000.127925569,309.0,686.0845563934272,Sony Pictures,16-10-2016
8,8,Finding Dory,187951.346513945,394.0,477.0338744008756,Disney,16-10-2016
9,9,American Honey,175383.0,101.0,1736.4653465346537,Universal,16-10-2016
10,10,My Scientology Movie,121882.0,49.0,2487.387755102041,Altitude,16-10-2016
11,11,The Secret Life of Pets,97517.0,243.0,401.3045267489712,Universal,16-10-2016
12,12,The Golden Age - Bolshoi 2016 (Ballet),86853.5826760796,201.0,432.1073764979084,Picture House Entertainment,16-10-2016
13,13,Don’t Breathe,76234.0195461511,112.0,680.6608888049205,Sony Pictures,16-10-2016
14,14,The BFG,69247.0,218.0,317.6467889908257,eOne Films,16-10-2016
0,0,"Lyle, Lyle, Crocodile",2783562.0,652.0,4269.0,Sony Pictures,16-10-2022
1,1,Halloween Ends,2110010.0,574.0,3676.0,Universal,16-10-2022
2,2,Smile,1420692.0,528.0,2691.0,Paramount,16-10-2022
3,3,Ticket To Paradise,617041.0,578.0,1068.0,Universal,16-10-2022
4,4,Don't Worry Darling,610841.0,582.0,1050.0,Warner Bros,16-10-2022
5,5,The Woman King,609914.0,542.0,1125.0,eOne Films,16-10-2022
6,6,Mrs. Harris Goes To Paris,386703.0,619.0,625.0,Universal,16-10-2022
7,7,Amsterdam,327943.0,594.0,552.0,Disney,16-10-2022
8,8,The Legend Of Maula Jatt,315219.0,78.0,4041.0,Moviegoers,16-10-2022
9,9,Emily,276322.0,545.0,507.0,Warner Bros,16-10-2022
10,10,The Lost King,195942.0,481.0,407.0,Warner Bros,16-10-2022
11,11,Minions: The Rise Of Gru,118467.0,421.0,281.0,Universal,16-10-2022
12,12,DC League Of Super-Pets,84732.0,386.0,220.0,Warner Bros,16-10-2022
13,13,See How They Run,63521.0,159.0,400.0,Disney,16-10-2022
14,14,Moonage Daydream,58604.0,104.0,564.0,Universal,16-10-2022
0,0,Quantum of Solace,5164182.0,549.0,9406.524590163934,Sony Pictures,16-11-2008
1,1,Max Payne,1004995.0,373.0,2694.356568364611,20th Century Fox,16-11-2008
2,2,High School Musical 3,975670.0,483.0,2020.0207039337477,Disney,16-11-2008
3,3,Zack and Miri Make a Porno,798205.0,340.0,2347.6617647058824,Entertainment,16-11-2008
4,4,Ghost Town,591605.0,334.0,1771.2724550898204,Paramount,16-11-2008
5,5,Dostana,341665.0,43.0,7945.697674418605,Yash Raj,16-11-2008
6,6,Burn After Reading,252475.0,211.0,1196.563981042654,Universal,16-11-2008
7,7,Easy Virtue,225772.0,290.0,778.5241379310345,Pathé,16-11-2008
8,8,Igor,220643.0,401.0,550.2319201995012,Momentum,16-11-2008
9,9,Saw V,219929.0,286.0,768.9825174825174,Lions Gate,16-11-2008
10,10,Pride and Glory,219671.0,254.0,864.8464566929134,Entertainment,16-11-2008
11,11,W.,183065.0,200.0,915.325,Lions Gate,16-11-2008
12,12,Mamma Mia!,150510.0,310.0,485.5161290322581,Universal,16-11-2008
13,13,The Baader-Meinhof Complex,108791.0,57.0,1908.6140350877192,Momentum,16-11-2008
14,14,Hunger,93330.0,73.0,1278.4931506849316,Pathé,16-11-2008
0,0,Interstellar,3777804.0,576.0,6558.6875,Warner Bros,16-11-2014
1,1,The Imitation Game,2742725.0,459.0,5975.435729847494,StudioCanal,16-11-2014
2,2,"Nativity 3: Dude, Where's My Donkey?",1800419.0,453.0,3974.4348785871966,eOne Films,16-11-2014
3,3,Mr. Turner,741748.0,383.0,1936.6788511749348,eOne Films,16-11-2014
4,4,The Drop,637867.0,339.0,1881.613569321534,20th Century Fox,16-11-2014
5,5,Gone Girl,454488.0,354.0,1283.864406779661,20th Century Fox,16-11-2014
6,6,The Book of Life,442863.0,492.0,900.1280487804878,20th Century Fox,16-11-2014
7,7,Teenage Mutant Ninja Turtles,437437.0,452.0,967.7809734513274,Paramount,16-11-2014
8,8,Fury,359822.0,372.0,967.263440860215,Sony Pictures,16-11-2014
9,9,Ouija,308516.0,324.0,952.20987654321,Universal,16-11-2014
10,10,Nightcrawler,254948.0,286.0,891.4265734265734,eOne Films,16-11-2014
11,11,the Maze Runner,238201.0,281.0,847.6903914590747,20th Century Fox,16-11-2014
12,12,Chaar Sahibzaade,159831.0,23.0,332.1304347826087,Dharam Seva,16-11-2014
13,13,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",156505.0,364.0,15.263736263736265,Disney,16-11-2014
14,14,Kill Dil,98105.0,54.0,1816.7592592592596,Yash Raj,16-11-2014
0,0,The Golden Compass,3002951.0,509.0,5899.707269155207,Entertainment,16-12-2007
1,1,Enchanted,2547975.0,471.0,5409.713375796178,Disney,16-12-2007
