,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date,Film
0,15,,15606712.00939572,398.53333333333336,2275.205053470667,,06082017,Total
0,15,Total,9399001.0,4638.0,2026.5202673566196,,06092009,
0,15,,3515315.0,,,,06092020,Total
0,15,Total,6964803.0,5248.0,1327.1347179878048,,06102013,
0,15,,19705562.0,,,,06102019,Total
0,15,Total,10229657.0,4815.0,2124.5393561786086,,06112011,
0,15,,12654649.156250292,394.3333333333333,1978.6129222810528,,06112016,Total
0,15,,7140245.0,,,,06112022,Total
0,15,Total,10793218.0,4799.0,2249.0556365909565,,06122009,
0,15,,9778032.0,,,,06122015,Total
0,15,,314053.0,,,,06122020,Total
0,15,,17817566.92282038,389.4,2525.7086540137443,,07012018,Total
0,15,Total,13675885.0,4501.0,3038.4103532548324,,07022010,
0,15,,11141566.0,,,,07022016,Total
0,15,Total,15686720.0,4241.0,3698.825748644188,,07032010,
0,15,Total,8758546.0,5038.0,1738.4966256450973,,07042013,
0,15,,14006411.823944343,,,,07042019,Total
0,15,,11211016.554274146,312.7333333333333,1977.0602758357145,,07052017,Total
0,15,Total,14459557.0,4368.0,3310.338141025641,,07062009,
0,15,,9180675.0,,,,07062015,Total
0,15,Total,10763543.0,3579.0,3007.416317407097,,07072013,
0,15,,25243369.0,,,,07072019,Total
0,15,Total,12875709.0,4443.0,2897.976367319379,,07082011,
0,15,,21489028.0,324.8666666666667,2781.1297921419914,,07082016,Total
0,15,,9068307.0,,,,07082022,Total
0,15,Total,9842807.0,5094.0,1932.2353749509227,,07092008,
0,15,Total,7448083.0,5601.0,1329.7773611855023,,07092014,
0,15,Total,6384284.0,4268.0,1495.8491096532334,,07102007,
0,15,Total,14087879.0,4772.0,2952.1959346186086,,07102012,
0,15,,20346396.894645263,366.6,2791.9838902026668,,07102018,Total
0,15,Total,10403395.0,4928.0,2111.078530844156,,07112010,
0,15,,12682250.0,,,,07112021,Total
0,15,Total,12022381.0,5460.0,2201.901282051282,,07122014,
0,15,Total,12349058.0,4822.0,2560.982579842389,,08012012,
0,15,,18326163.296039656,410.06666666666666,2608.409148735137,,08012017,Total
0,15,,11551741.0,,,,08012023,Total
0,15,Total,9327102.0,4141.0,2252.379135474523,,08022009,
0,15,Total,12259785.0,,,,08022015,
0,15,Total,11598513.0,4814.0,2409.3296634815124,,08032009,
0,15,,9093780.0,,,,08032015,Total
0,15,,10133673.0,,,,08032020,Total
0,15,Total,14401002.0,4272.0,3371.02106741573,,08042012,
0,15,,14279512.0,412.8,1949.9243874436825,,08042018,Total
0,15,Total,10055344.0,4556.0,2207.0553116769097,,08052011,
0,15,,10849151.0,,,,08052016,Total
0,15,,23825949.0,,,,08052022,Total
0,15,Total,8742025.0,3461.0,2525.866801502456,,08062008,
0,15,Total,12802183.0,4767.0,2685.584854206,,08062014,
0,15,Total,12376933.0,3059.0,4046.071592023537,,08072007,
0,15,Total,14635570.0,3422.0,4276.905318527177,,08072012,
0,15,,6206922.597950175,357.6666666666667,8781.838994104,,08072018,Total
0,15,Total,16660490.0,4150.0,4014.5759036144577,,08082010,
0,15,,8956728.0,,,,08082021,Total
0,15,Total,9019164.0,5838.0,1544.9064748201438,,08092013,
0,15,,12623940.0,,,,08092019,Total
0,15,,11837879.5422352,382.8666666666667,1614.705052509333,,08102017,Total
0,15,Total,9765227.0,4293.0,2274.6860004658747,,08112009,
0,15,,18277947.0,,,,08112015,Total
0,15,,19015.0,,,,08112020,Total
0,15,Total,11373755.0,3836.0,2965.0039103232534,,08122008,
0,15,Total,11079378.0,4473.0,2476.9456740442656,,08122013,
0,15,,9871092.0,,,,08122019,Total
0,15,Total,14386745.0,5222.0,2755.025852163922,,09012011,
0,15,,8953023.0,,,,09012022,Total
0,15,Total,12722070.704778008,4934.0,2578.449676687881,,09022014,
0,15,,15766365.0,,,,09022020,Total
0,15,Total,7935548.0,4494.0,1765.809523809524,,09032008,
0,15,Total,11548546.0,5919.0,1951.0974826828856,,09032014,
0,15,,15616869.0,360.8,15580.0,,09042017,Total
0,15,Total,10954404.0,4644.0,2358.829457364341,,09052010,
0,15,Total,8463371.0,4650.0,1820.0797849462365,,09062013,
0,15,,,,,,09062019,Total
0,15,,17904149.582742017,302.4,2463.317473914285,,09072017,Total
0,15,Total,10151349.0,4498.0,2256.85838150289,,09082009,
0,15,,10423053.0,,,,09082015,Total
0,15,,421359.0,,,,09082020,Total
0,15,Total,7513867.0,4572.0,1643.4529746281714,,09092007,
0,15,Total,6858488.0,5331.0,1286.5293565935096,,09092012,
0,15,,10968463.0,401.4666666666666,1817.9062093979776,,09092018,Total
0,15,Total,12232937.0,4393.0,2784.643068518097,,09102011,
0,15,,14979758.0,309.8,2339.378494224091,,09102016,Total
0,15,,7342048.0,,,,09102022,Total
0,15,Total,14120518.0,3720.0,3795.83817204301,,09112008,
0,15,Total,11535279.0,4945.0,2332.71567239636,,09112014,
0,15,Total,10918141.0,3308.0,3300.526299879081,,09122007,
0,15,Total,7914655.0,4829.0,1638.9842617519157,,09122012,
0,15,,10395332.72312859,358.46666666666664,1536.901779388667,,09122018,Total
0,15,Total,15940377.0,4484.0,3554.9458073148976,,132010,
0,15,Total,12916893.0,4309.0,2997.6544441865863,,10012010,
0,15,,15697642.0,,,,10012016,Total
0,15,Total,10744541.0,4317.0,2488.890664813528,,10022008,
0,15,Total,13447138.0,4646.0,2894.347395609126,,10022013,
0,15,,14647757.32902893,,,,10022019,Total
0,15,Total,9178018.0,4690.0,1956.933475479744,,10032013,
0,15,,17816924.71881435,,,,10032019,Total
0,15,Total,5179061.0,3957.0,1308.8352287086177,,10042011,
0,15,,11747480.668243269,,,,10042016,Total
0,15,,11895399.0,,,,10042022,Total
0,15,Total,14646324.0,4246.0,3449.440414507772,,10052009,
0,15,Total,7040083.0,3311.0,2126.27091513138,,10062007,
0,15,Total,12099134.0,4293.0,2818.340088516189,,10062012,
0,15,,19020861.749999985,307.6666666666667,17639.432724609087,,10062018,Total
0,15,Total,10815099.0,3957.0,2733.156178923427,,10072011,
0,15,,16630113.0,,,,10072016,Total
0,15,,20254758.0,,,,10072022,Total
0,15,Total,16006204.0,4620.0,3464.5463203463205,,10082008,
0,15,Total,22137777.0,4917.0,4502.293471629042,,10082014,
0,15,,14795819.687982831,401.6666666666667,2000.832625720436,,10092017,Total
0,15,Total,7564544.0,4919.0,1537.821508436674,,10102010,
0,15,,18550133.0,,,,10102021,Total
0,15,Total,14669138.0,4562.0,3215.505918456817,,10112013,
0,15,,9764957.0,,,,10112019,Total
0,15,,5916798.144317615,340.2,1325.3118421410857,,10122017,Total
0,15,Total,13040856.0,5174.0,2520.459219172787,,11012009,
0,15,Total,19310501.0,5786.0,3337.452644313861,,11012015,
0,15,,15900512.005657544,421.6,2207.127640462999,,11022018,Total
0,15,Total,9155280.0,4754.0,1925.8056373580143,,11032012,
0,15,,10769920.931125095,443.8666666666667,1623.7780986806513,,11032018,Total
0,15,Total,9516015.0,4570.0,2082.2789934354487,,11042010,
0,15,Total,5542187.0,3612.0,1534.3817829457364,,11052008,
0,15,Total,13856641.0,4726.0,2932.001904358866,,11052014,
0,15,,12718666.473918594,398.26666666666665,13364.40583460286,,11062017,Total
0,15,Total,21845097.0,2919.0,7483.760534429599,,11072010,
0,15,,9897441.0,,,,11072021,Total
0,15,Total,16433743.0,5603.0,2933.02570051758,,11082013,
0,15,,13451579.0,,,,11082019,Total
0,15,Total,9604036.0,4926.0,1949.6622005684128,,11092011,
0,15,,8687702.0,358.2,1634.9989835281854,,11092016,Total
0,15,,5700842.0,,,,11092022,Total
0,15,Total,12111298.0,4122.0,2938.209121785541,,11102009,
0,15,,9542786.0,,,,11102015,Total
0,15,,1523057.0,,,,11102020,Total
0,15,Total,8309493.0,3746.0,2218.2309129738387,,11112007,
0,15,Total,15521839.0,4506.0,3444.7046160674654,,11112012,
0,15,,17630016.753796674,418.4,2446.5392438043505,,11112018,Total
0,15,Total,7841919.0,4273.0,1835.2256026211091,,11122011,
0,15,,9155236.60244288,331.06666666666666,1487.885733429323,,11122016,Total
0,15,,4895826.0,,,,11122022,Total
0,15,Total,14566610.0,5390.0,2702.525046382189,,12012014,
0,15,,18747169.0,,,,12012020,Total
0,15,Total,13733303.0,4855.0,2828.6926879505663,,12022012,
0,15,,23188936.0,367.6666666666667,3307.2,,12022017,Total
0,15,,9052649.0,,,,12022023,Total
0,15,,14793295.850832812,320.93333333333334,16434.34665200212,,12032017,Total
0,15,Total,14625014.0,4407.0,3318.587247560699,,12042009,
0,15,,12997964.0,,,,12042015,Total
0,15,Total,14375442.0,3696.0,3889.459415584416,,12052013,
0,15,,9120758.0,,,,12052015,Total
0,15,,12337293.700106671,,,,12052019,Total
0,15,,7891011.0,,,,12062016,Total
0,15,,19135425.0,,,,12062022,Total
0,15,Total,14887224.0,3645.0,4084.286419753086,,12072009,
0,15,,13771890.0,,,,12072015,Total
0,15,,264645.0,,,,12072020,Total
0,15,Total,10148191.0,4021.0,2523.797811489679,,12082007,
0,15,Total,8684362.0,4024.0,2158.141650099404,,12082012,
0,15,,16753946.0,367.8666666666667,2163.351228458667,,12082018,Total
0,15,Total,8126083.0,4880.0,1665.1809426229509,,12092010,
0,15,,6846076.0,,,,12092021,Total
0,15,Total,6249057.0,3837.0,1628.6309616888193,,12102008,
0,15,Total,11815202.112262156,5052.0,2338.7177577716066,,12102014,
0,15,,19181822.235688884,323.93333333333334,5917.628496781999,,12112017,Total
0,15,Total,8272971.0,3690.0,2241.9975609756098,,12122010,
0,15,,5675533.0,,,,12122021,Total
0,15,Total,10308598.0,4615.0,2233.7157096424703,,13012008,
0,15,Total,20820931.0,5223.0,3986.3930691173655,,13012013,
0,15,,14132265.408138204,399.8,2166.843345825913,,13012019,Total
0,15,Total,16014953.0,4946.0,3237.960574201375,,13022011,
0,15,,14064443.0,,,,13022022,Total
0,15,Total,9567583.0,5254.0,1821.009326227636,,13032011,
0,15,,10134421.0,,,,13032016,Total
0,15,,12064503.0,,,,13032022,Total
0,15,Total,7380450.0,4469.0,1651.476840456478,,13042008,
0,15,Total,9290504.0,4778.0,1944.43365424864,,13042014,
0,15,Total,11505017.0,4497.0,2558.37602846342,,13052012,
0,15,,11983986.924321055,331.1333333333333,17019.779085498412,,13052018,Total
0,15,Total,5932461.0,4550.0,1303.8375824175823,,13062010,
0,15,,4918201.0,,,,13062021,Total
0,15,Total,16863245.0,3531.0,4775.770320022656,,13072008,
0,15,Total,23297335.0,4040.0,5766.667079207921,,13072014,
0,15,,11709580.324384116,436.0,1686.6168940040002,,13082017,Total
0,15,Total,6711252.0,4725.0,1420.3707936507938,,13092009,
0,15,,12140533.0,,,,13092015,Total
0,15,,2710293.0,,,,13092020,Total
