cinema_name,cinema_url,postcode_category
Q-Zone Theater,https://www.google.com/maps/place/Q-Zone+Theater/data=!4m7!3m6!1s0x80d953282c50ce99:0x1b28e58837f69b71!8m2!3d51.5152945!4d-0.118274!16s%2Fg%2F11b6bjfnc4!19sChIJmc5QLChT2YARcZv2N4jlKBs?authuser=0&hl=en&rclk=1,Central+London
Birkbeck Cinema,https://www.google.com/maps/place/Birkbeck+Cinema/data=!4m7!3m6!1s0x48761b2fedd312af:0xa28eb653d70d82c1!8m2!3d51.524668!4d-0.1302648!16s%2Fg%2F11bcdhn2cc!19sChIJrxLT7S8bdkgRwYIN11O2jqI?authuser=0&hl=en&rclk=1,Central+London
NFT 1,https://www.google.com/maps/place/NFT+1/data=!4m7!3m6!1s0x4876053c73ff931b:0xb101af6f57d36c7e!8m2!3d51.5069298!4d-0.1151359!16s%2Fg%2F11g3xkb1kn!19sChIJG5P_czwFdkgRfmzTV2-vAbE?authuser=0&hl=en&rclk=1,Central+London
Everyman Kings Cross,https://www.google.com/maps/place/Everyman+Kings+Cross/data=!4m7!3m6!1s0x48761b16728e608f:0x173a846b9fd36256!8m2!3d51.5374946!4d-0.1240082!16s%2Fg%2F11gdrkfy3z!19sChIJj2COchYbdkgRVmLTn2uEOhc?authuser=0&hl=en&rclk=1,Central+London
Vue Cinemas,https://www.google.com/maps/place/Vue+Cinemas/data=!4m7!3m6!1s0x48761b42c64656fd:0xba93d66bde158466!8m2!3d51.534207!4d-0.1059779!16s%2Fg%2F1tf9xxl2!19sChIJ_VZGxkIbdkgRZoQV3mvWk7o?authuser=0&hl=en&rclk=1,Central+London
Barbican Cinema 1,https://www.google.com/maps/place/Barbican+Cinema+1/data=!4m7!3m6!1s0x48761ca98b08f183:0xc972a7f4673a6f7c!8m2!3d51.5197143!4d-0.0933989!16s%2Fg%2F1q65dzwzf!19sChIJg_EIi6kcdkgRfG86Z_Sncsk?authuser=0&hl=en&rclk=1,Central+London
BFI Southbank,https://www.google.com/maps/place/BFI+Southbank/data=!4m7!3m6!1s0x487604b7e7c78711:0x3427f18d546137bd!8m2!3d51.5067628!4d-0.1150595!16s%2Fm%2F02q0sjz!19sChIJEYfH57cEdkgRvTdhVI3xJzQ?authuser=0&hl=en&rclk=1,Central+London
Curzon Aldgate,https://www.google.com/maps/place/Curzon+Aldgate/data=!4m7!3m6!1s0x4876033543fcf3cd:0xebbd11285d16d3ce!8m2!3d51.5137742!4d-0.0690075!16s%2Fg%2F11c613c0cq!19sChIJzfP8QzUDdkgRztMWXSgRves?authuser=0&hl=en&rclk=1,Central+London
The Cinema in the Arches,https://www.google.com/maps/place/The+Cinema+in+the+Arches/data=!4m7!3m6!1s0x4876057518d98417:0x5a946061ddcbaef9!8m2!3d51.4826889!4d-0.1468929!16s%2Fg%2F11h2kbhpsg!19sChIJF4TZGHUFdkgR-a7L3WFglFo?authuser=0&hl=en&rclk=1,Central+London
Future Cinema Limited,https://www.google.com/maps/place/Future+Cinema+Limited/data=!4m7!3m6!1s0x487604cbcdc91ce1:0x88c043b4310e5d19!8m2!3d51.5104807!4d-0.1206543!16s%2Fg%2F11rf77lvsb!19sChIJ4RzJzcsEdkgRGV0OMbRDwIg?authuser=0&hl=en&rclk=1,Central+London
Electric Theatre,https://www.google.com/maps/place/Electric+Theatre/data=!4m7!3m6!1s0x487604a562d57f49:0x8be8b51b46eaafc2!8m2!3d51.5042871!4d-0.1034537!16s%2Fg%2F11j8lmkdvb!19sChIJSX_VYqUEdkgRwq_qRhu16Is?authuser=0&hl=en&rclk=1,Central+London
Hackney Picturehouse,https://www.google.com/maps/place/Hackney+Picturehouse/data=!4m7!3m6!1s0x48761ce4efa0cde7:0x84e53a537d9126ef!8m2!3d51.5446763!4d-0.0550042!16s%2Fg%2F11hgl4d2fg!19sChIJ582g7-QcdkgR7yaRfVM65YQ?authuser=0&hl=en&rclk=1,Central+London
Everyman on the Corner,https://www.google.com/maps/place/Everyman+on+the+Corner/data=!4m7!3m6!1s0x48761b17b13ac937:0xdf85b23277d069f5!8m2!3d51.537668!4d-0.1269773!16s%2Fg%2F11c45qrps_!19sChIJN8k6sRcbdkgR9WnQdzKyhd8?authuser=0&hl=en&rclk=1,Central+London
Curzon Sea Containers,https://www.google.com/maps/place/Curzon+Sea+Containers/data=!4m7!3m6!1s0x487604b1c3be250b:0xedc40095bb1d8849!8m2!3d51.5085457!4d-0.1066922!16s%2Fg%2F11b6gqqd_8!19sChIJCyW-w7EEdkgRSYgdu5UAxO0?authuser=0&hl=en&rclk=1,Central+London
London Theatre Booking,https://www.google.com/maps/place/London+Theatre+Booking/data=!4m7!3m6!1s0x487604cd2d4da115:0xacedd9b27b91dc3c!8m2!3d51.514928!4d-0.1269456!16s%2Fg%2F11g81dtr22!19sChIJFaFNLc0EdkgRPNyRe7LZ7aw?authuser=0&hl=en&rclk=1,Central+London
Cine Lumiere,https://www.google.com/maps/place/Cine+Lumiere/data=!4m7!3m6!1s0x4876055d436a6d35:0xc92b0da83a99e9e8!8m2!3d51.4945536!4d-0.1770752!16s%2Fg%2F1tptq2cz!19sChIJNW1qQ10FdkgR6OmZOqgNK8k?authuser=0&hl=en&rclk=1,Central+London
Genesis Cinema,https://www.google.com/maps/place/Genesis+Cinema/data=!4m7!3m6!1s0x48761cd6970e22f7:0x3e2931af6317216!8m2!3d51.5211404!4d-0.051122!16s%2Fg%2F12hqtrzr1!19sChIJ9yIOl9YcdkgRFnIx9hqT4gM?authuser=0&hl=en&rclk=1,Central+London
Teepee Productions,https://www.google.com/maps/place/Teepee+Productions/data=!4m7!3m6!1s0x48761b2d4cd10fc1:0xd17a8a1a354c6e75!8m2!3d51.5149636!4d-0.1301545!16s%2Fg%2F11ckr_8j1v!19sChIJwQ_RTC0bdkgRdW5MNRqKetE?authuser=0&hl=en&rclk=1,Central+London
ODEON Camden,https://www.google.com/maps/place/ODEON+Camden/data=!4m7!3m6!1s0x48761ae1aceacda1:0x2a403709b1f8bda2!8m2!3d51.5388368!4d-0.143529!16s%2Fg%2F1tmk7_1y!19sChIJoc3qrOEadkgRor34sQk3QCo?authuser=0&hl=en&rclk=1,Central+London
Bertha DocHouse,https://www.google.com/maps/place/Bertha+DocHouse/data=!4m7!3m6!1s0x48761b374bfbb461:0xa070cb30d8f2a22!8m2!3d51.5241334!4d-0.1230759!16s%2Fg%2F11bc962fpk!19sChIJYbT7SzcbdkgRIiqPDbMMBwo?authuser=0&hl=en&rclk=1,Central+London
Dominion Theatre,https://www.google.com/maps/place/Dominion+Theatre/data=!4m7!3m6!1s0x48761b2d6954b527:0xa11d7ff34a8e1347!8m2!3d51.5167185!4d-0.1301707!16zL20vMDE3ZzYw!19sChIJJ7VUaS0bdkgRRxOOSvN_HaE?authuser=0&hl=en&rclk=1,East+London
The Cinema in the Arches,https://www.google.com/maps/place/The+Cinema+in+the+Arches/data=!4m7!3m6!1s0x4876057518d98417:0x5a946061ddcbaef9!8m2!3d51.4826889!4d-0.1468929!16s%2Fg%2F11h2kbhpsg!19sChIJF4TZGHUFdkgR-a7L3WFglFo?authuser=0&hl=en&rclk=1,East+London
Genesis Cinema,https://www.google.com/maps/place/Genesis+Cinema/data=!4m7!3m6!1s0x48761cd6970e22f7:0x3e2931af6317216!8m2!3d51.5211404!4d-0.051122!16s%2Fg%2F12hqtrzr1!19sChIJ9yIOl9YcdkgRFnIx9hqT4gM?authuser=0&hl=en&rclk=1,East+London
Curzon Aldgate,https://www.google.com/maps/place/Curzon+Aldgate/data=!4m7!3m6!1s0x4876033543fcf3cd:0xebbd11285d16d3ce!8m2!3d51.5137742!4d-0.0690075!16s%2Fg%2F11c613c0cq!19sChIJzfP8QzUDdkgRztMWXSgRves?authuser=0&hl=en&rclk=1,East+London
The Castle Cinema,https://www.google.com/maps/place/The+Castle+Cinema/data=!4m7!3m6!1s0x48761d03da57994b:0x34d9cbdbc2dd0f01!8m2!3d51.5512961!4d-0.0432945!16s%2Fg%2F11c1rfwddc!19sChIJS5lX2gMddkgRAQ_dwtvL2TQ?authuser=0&hl=en&rclk=1,East+London
